epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.397,0.66023,3.17187,1.3282,0.00397,1,0.61658,0.50372,0.36631,3.19575,1.20034,0.0001375,0.0001375,0.0001375
2,31.7683,0.43293,2.31233,1.10419,0.00374,1,0.87436,0.78448,0.54383,3.15966,1.39082,0.000281807,0.000281807,0.000281807
3,39.2949,0.49123,1.4039,1.11148,0.00434,1,0.77998,0.67002,0.65326,2.86744,1.64084,0.000420175,0.000420175,0.000420175
4,46.7604,0.45153,0.95592,1.0855,0.0037,1,0.64835,0.45926,0.57061,2.96771,1.31201,0.000552602,0.000552602,0.000552602
5,54.2011,0.47775,0.80582,1.09799,0.00373,1,0.9508,0.77458,0.65151,2.95262,1.49994,0.00067909,0.00067909,0.00067909
6,61.5751,0.46232,0.73718,1.0924,0.82955,0.33333,0.7358,0.62682,0.58985,2.5814,1.72741,0.000799638,0.000799638,0.000799638
7,69.017,0.5111,0.73788,1.11706,0.64301,0.26667,0.28443,0.12375,1.38426,2.98905,2.32088,0.000914245,0.000914245,0.000914245
8,76.336,0.4579,0.70437,1.09416,0.75447,0.85234,0.9353,0.73973,0.62918,1.87497,1.44309,0.00102291,0.00102291,0.00102291
9,83.6979,0.47402,0.68629,1.10193,0.59242,0.59259,0.57366,0.42682,0.94683,2.23613,1.76464,0.001052,0.001052,0.001052
10,91.0133,0.44205,0.58298,1.06449,0.82189,0.91193,0.82475,0.69535,0.46593,1.45879,1.21041,0.00102725,0.00102725,0.00102725
11,98.344,0.41503,0.55966,1.0567,0.98333,0.99402,0.995,0.87099,0.47885,0.8245,1.27492,0.0010025,0.0010025,0.0010025
12,105.778,0.42199,0.53754,1.05707,0.9767,1,0.995,0.89771,0.40365,0.73444,1.05873,0.00097775,0.00097775,0.00097775
13,113.45,0.38087,0.49371,1.03071,0.98649,1,0.995,0.92481,0.37461,0.58069,1.07671,0.000953,0.000953,0.000953
14,120.931,0.38037,0.47585,1.02745,0.98798,1,0.995,0.98349,0.2552,0.4789,0.96684,0.00092825,0.00092825,0.00092825
15,128.444,0.38094,0.45325,1.03854,0.9906,1,0.995,0.97806,0.28849,0.42231,0.99662,0.0009035,0.0009035,0.0009035
16,135.758,0.36556,0.44156,1.02296,0.92758,1,0.99197,0.96802,0.28975,0.49077,0.96468,0.00087875,0.00087875,0.00087875
17,143.107,0.364,0.43329,1.02032,0.99354,1,0.995,0.97012,0.24182,0.34954,0.92259,0.000854,0.000854,0.000854
18,150.405,0.36755,0.43183,1.02426,0.99183,1,0.995,0.98767,0.28076,0.36185,0.96219,0.00082925,0.00082925,0.00082925
19,157.857,0.34759,0.40954,1.02088,0.99126,1,0.995,0.91864,0.38838,0.47235,1.05181,0.0008045,0.0008045,0.0008045
20,165.168,0.36625,0.41214,1.02205,0.95168,0.96522,0.97985,0.94787,0.28794,0.41676,0.94956,0.00077975,0.00077975,0.00077975
21,172.476,0.36383,0.39277,1.01501,0.99219,1,0.995,0.95098,0.36225,0.32854,1.00859,0.000755,0.000755,0.000755
22,179.776,0.3621,0.38426,1.01972,0.99345,1,0.995,0.9801,0.25892,0.27188,0.96394,0.00073025,0.00073025,0.00073025
23,187.083,0.3277,0.35791,0.99405,0.99452,1,0.995,0.99052,0.22442,0.24047,0.91453,0.0007055,0.0007055,0.0007055
24,194.519,0.30296,0.34706,0.98789,0.99314,1,0.995,0.995,0.17991,0.23251,0.89605,0.00068075,0.00068075,0.00068075
25,202.131,0.32888,0.34462,0.99751,0.99344,1,0.995,0.99101,0.21573,0.26323,0.92061,0.000656,0.000656,0.000656
26,209.421,0.31597,0.33302,0.98869,0.99091,1,0.995,0.98901,0.20984,0.24758,0.90675,0.00063125,0.00063125,0.00063125
27,216.704,0.30929,0.3312,0.97589,0.99418,1,0.995,0.995,0.20131,0.22852,0.89785,0.0006065,0.0006065,0.0006065
28,224.16,0.30959,0.32287,0.98313,0.99437,1,0.995,0.995,0.21313,0.2391,0.90815,0.00058175,0.00058175,0.00058175
29,231.579,0.29955,0.31593,0.97351,0.99466,1,0.995,0.99134,0.18184,0.2191,0.89114,0.000557,0.000557,0.000557
30,238.847,0.31318,0.31283,0.98695,0.99409,1,0.995,0.995,0.20419,0.19089,0.89267,0.00053225,0.00053225,0.00053225
31,246.234,0.28875,0.3073,0.97384,0.98772,1,0.995,0.995,0.2064,0.30812,0.909,0.0005075,0.0005075,0.0005075
32,253.64,0.27964,0.29309,0.96935,0.9947,1,0.995,0.99068,0.21505,0.20063,0.90673,0.00048275,0.00048275,0.00048275
33,260.942,0.27349,0.2854,0.96502,0.99462,1,0.995,0.995,0.17002,0.20481,0.88515,0.000458,0.000458,0.000458
34,268.37,0.27016,0.28796,0.95894,0.99459,1,0.995,0.995,0.16927,0.19283,0.87788,0.00043325,0.00043325,0.00043325
35,275.803,0.26879,0.27115,0.96298,0.99401,1,0.995,0.995,0.17689,0.16974,0.87677,0.0004085,0.0004085,0.0004085
36,283.32,0.25693,0.26675,0.94733,0.99413,1,0.995,0.995,0.17915,0.16416,0.89602,0.00038375,0.00038375,0.00038375
37,291.018,0.26909,0.26444,0.95076,0.99468,1,0.995,0.98311,0.18445,0.1968,0.89792,0.000359,0.000359,0.000359
38,298.323,0.24897,0.25905,0.96341,0.99451,1,0.995,0.99139,0.14887,0.17673,0.87059,0.00033425,0.00033425,0.00033425
39,305.626,0.24207,0.25469,0.95823,0.99487,1,0.995,0.995,0.18102,0.15771,0.89228,0.0003095,0.0003095,0.0003095
40,313.055,0.26221,0.25881,0.96178,0.99454,1,0.995,0.995,0.1625,0.16184,0.88145,0.00028475,0.00028475,0.00028475
41,322.755,0.22205,0.42247,0.94964,0.99481,1,0.995,0.97915,0.24502,0.20477,0.91837,0.00026,0.00026,0.00026
42,330.209,0.19469,0.3236,0.93789,0.99093,1,0.995,0.995,0.16687,0.31608,0.8775,0.00023525,0.00023525,0.00023525
43,337.66,0.19928,0.28835,0.92884,0.99495,1,0.995,0.995,0.17567,0.21586,0.88346,0.0002105,0.0002105,0.0002105
44,345.193,0.17992,0.256,0.9325,0.9951,1,0.995,0.995,0.16529,0.17141,0.87824,0.00018575,0.00018575,0.00018575
45,352.778,0.18215,0.2567,0.93777,0.99499,1,0.995,0.995,0.14648,0.15836,0.87182,0.000161,0.000161,0.000161
46,360.289,0.17138,0.24399,0.90686,0.9938,1,0.995,0.995,0.1394,0.16166,0.8739,0.00013625,0.00013625,0.00013625
47,367.694,0.17153,0.23405,0.92034,0.99373,1,0.995,0.995,0.13298,0.14262,0.86068,0.0001115,0.0001115,0.0001115
48,375.182,0.15284,0.2158,0.91843,0.99369,1,0.995,0.995,0.12945,0.1373,0.85852,8.675e-05,8.675e-05,8.675e-05
49,382.777,0.15945,0.22104,0.89351,0.99352,1,0.995,0.995,0.12903,0.13479,0.85948,6.2e-05,6.2e-05,6.2e-05
50,390.221,0.1527,0.20878,0.90085,0.99435,1,0.995,0.995,0.11777,0.1407,0.85453,3.725e-05,3.725e-05,3.725e-05
